name,code_region,code,address_line_1,address_line_2,postal_code,city,country,full_address,latitude,longitude
Les Andelys,GCM,GCM00420,1 rue De La Madeleine,,27700,Les Andelys,FR,1 rue De La Madeleine 27700 Les Andelys,49.247755,1.416843
Les Angles,GMED,GSU86768,30 rue Di Cardelino,Les Portes De Grand Angle,30133,Les Angles,FR,30 rue Di Cardelino 30133 Les Angles,43.960739,4.750929
Les Essarts,GCA,GCA03274,14 rue Du Général De Gaulle,,85140,Essarts En Bocage,FR,14 rue Du Général De Gaulle 85140 Essarts En Bocage,46.773455,-1.226993
Les Herbiers,GCA,GCA03275,13 rue De La Prise D'Eau,,85500,Les Herbiers,FR,13 rue De La Prise D'Eau 85500 Les Herbiers,46.869131,-1.010676
Les Hôpitaux Neufs,GGE,GGE02513,27 route De Lausanne,,25370,Les Hopitaux Neufs,FR,27 route De Lausanne 25370 Les Hopitaux Neufs,46.776026,6.376173
Les Martres De Veyre,GRAA,GRA30847,76 avenue De La Gare,,63730,Les Martres De Veyre,FR,76 avenue De La Gare 63730 Les Martres De Veyre,45.687265,3.193468
Les Pieux,GCM,GCM00367,72 rue Centrale,,50340,Les Pieux,FR,72 rue Centrale 50340 Les Pieux,49.515223,-1.805119
Les Ponts De Ce,GLB,LBR51613,44 rue Pasteur,,49130,Les Ponts De Ce,FR,44 rue Pasteur 49130 Les Ponts De Ce,47.415809,-0.523256
Les Rosiers Sur Loire,GLB,LBR51643,1 rue Des Ponts,,49350,Les Rosiers Sur Loire,FR,1 rue Des Ponts 49350 Les Rosiers Sur Loire,47.350153,-0.227302
Les Sables d'Olonne,GCA,GCA03276,37 avenue Georges Pompidou,,85100,Les Sables D Olonne,FR,37 avenue Georges Pompidou 85100 Les Sables D Olonne,46.49927,-1.780537
Les Sorinieres,GLB,LBR46198,43 rue Georges Clemenceau,,44840,Les Sorinieres,FR,43 rue Georges Clemenceau 44840 Les Sorinieres,47.148729,-1.531516
Les Vans,GMED,GSU86164,place Henri Thibon,,7140,Les Vans,FR,place Henri Thibon 07140 Les Vans,44.405888,4.131278
LES VILLAGES VOVEENS,GCM,GCM01128,1 boulevard Maurice Violette,,28150,Villages Voveens Les,FR,1 boulevard Maurice Violette 28150 Villages Voveens Les,48.270562,1.626688
Lesneven,GLB,LBR31124,5 place Du Marechal Foch,,29260,Lesneven,FR,5 place Du Marechal Foch 29260 Lesneven,48.572635,-4.323828
Lesparre Medoc,GCA,GCA03198,10 cours Du Général De Gaulle,,33340,Lesparre Medoc,FR,10 cours Du Général De Gaulle 33340 Lesparre Medoc,45.307955,-0.940508
Leucate,GMED,GSU85111,2 avenue Francis Vals,Résidence L'Anse Du Paradis Bat B,11370,Leucate,FR,2 avenue Francis Vals 11370 Leucate,42.911524,3.024849
Levier,GGE,GGE02514,3 place Bugnet,,25270,Levier,FR,3 place Bugnet 25270 Levier,46.954071,6.117355
Levroux,GCA,GCA03221,11 place De La République,,36110,Levroux,FR,11 place De La République 36110 Levroux,46.979084,1.611848
Lezat sur leze,GOC,GOC83013,12 avenue De La République,,9210,Lezat Sur Leze,FR,12 avenue De La République 09210 Lezat Sur Leze,43.275632,1.347818
Lezignan Gaujac,GMED,GSU86763,1 rue De L'Alaric,Zone Commerciale Gauja,11200,Lezignan Corbieres,FR,1 rue De L'Alaric 11200 Lezignan Corbieres,43.188882,2.7539
Libourne,GCA,GCA03199,127 Avenue du Général de Gaulle,,33500,Libourne,FR,127 Avenue du Général de Gaulle 33500 Libourne,44.907825,-0.232715
Liffre,GLB,LBR37107,9 rue De Rennes,,35340,Liffre,FR,9 rue De Rennes 35340 Liffre,48.213931,-1.507163
Ligne,GLB,LBR46082,35 rue Des Palmiers,,44850,Ligne,FR,35 rue Des Palmiers 44850 Ligne,47.4111,-1.376387
Lillebonne,GCM,GCM00186,18 rue Thiers,,76170,Lillebonne,FR,18 rue Thiers 76170 Lillebonne,49.519627,0.533314
Limoges Arenes,GCA,GCA18023,18 rue Des Arènes,,87000,Limoges,FR,18 rue Des Arènes 87000 Limoges,45.829948,1.252972
Limoges Jourdan,GCA,GCA03323,9 place Jourdan,,87000,Limoges,FR,9 place Jourdan 87000 Limoges,45.832215,1.26396
Limours,GPVL,PVL01738,4 avenue De Chambord,,91470,Limours,FR,4 avenue De Chambord 91470 Limours,48.645751,2.073544
Limoux,GMED,GSU85389,"10, Rue Blériot",,11300,Limoux,FR,"10, Rue Blériot 11300 Limoux",43.069305,2.219386
Lingolsheim,GGE,GGE10823,95 rue Du Maréchal Foch,,67380,Lingolsheim,FR,95 rue Du Maréchal Foch 67380 Lingolsheim,48.556009,7.680523
Liré,GLB,LBR51183,6 rue De La Turmeliere,,49530,Oree D Anjou,FR,6 rue De La Turmeliere 49530 Oree D Anjou,47.34115,-1.167198
Lisieux,GCM,GCM00093,72 avenue Victor Hugo,,14100,Lisieux,FR,72 avenue Victor Hugo 14100 Lisieux,49.144231,0.228187
Lisle Sur Tarn,GOC,GOC94116,2 bis rue Saint-Louis,,81310,Lisle Sur Tarn,FR,2 bis rue Saint-Louis 81310 Lisle Sur Tarn,43.853396,1.810268
Lit et Mixe,GOC,GOC90106,67 rue De L'Eglise,,40170,Lit Et Mixe,FR,67 rue De L'Eglise 40170 Lit Et Mixe,44.032602,-1.25727
Livarot,GCM,GCM00100,11 rue Marechal Foch,,14140,Livarot Pays D Auge,FR,11 rue Marechal Foch 14140 Livarot Pays D Auge,49.004564,0.151624
Loches,GPVL,PVL01155,1 bis rue De Tours,,37600,Loches,FR,1 bis rue De Tours 37600 Loches,47.129689,0.998592
Locminé,GLB,LBR58174,24 rue Du General De Gaulle,,56500,Locmine,FR,24 rue Du General De Gaulle 56500 Locmine,47.888821,-2.836039
Locmiquelic,GLB,LBR58193,17 Grande Rue,,56570,Locmiquelic,FR,17 Grande Rue 56570 Locmiquelic,47.723339,-3.340513
Lodève,GMED,GSU85726,22 rue De La République,,34700,Lodeve,FR,22 rue De La République 34700 Lodeve,43.732397,3.32006
Longue,GLB,LBR51644,7 rue Yvonne Compere,,49160,Longue Jumelles,FR,7 rue Yvonne Compere 49160 Longue Jumelles,47.380758,-0.110089
Longueville Sur Scie,GCM,GCM00205,13 rue Guynemer,,76590,Longueville Sur Scie,FR,13 rue Guynemer 76590 Longueville Sur Scie,49.792149,1.108957
Longuyon,GGE,GGE05404,1 rue De L'Hôtel De Ville,,54260,Longuyon,FR,1 rue De L'Hôtel De Ville 54260 Longuyon,49.445458,5.600841
Lons,GOC,GOC92010,93 boulevard Charles De Gaulle,(Route De Bayonne),64140,Lons,FR,93 boulevard Charles De Gaulle 64140 Lons,43.312264,-0.415066
Lons Le Saunier,GGE,GGE03910,40 cours Sully,,39000,Lons Le Saunier,FR,40 cours Sully 39000 Lons Le Saunier,46.673865,5.546069
Lorient Alsace Lorraine,GLB,LBR58299,3 place Alsace Lorraine,,56100,Lorient,FR,3 place Alsace Lorraine 56100 Lorient,47.749952,-3.362286
Loriol sur Drôme,GMED,GSU85930,43 avenue De La République,,26270,Loriol Sur Drome,FR,43 avenue De La République 26270 Loriol Sur Drome,44.753034,4.823527
Lorris,GPVL,PVL01336,35 Grande Rue,,45260,Lorris,FR,35 Grande Rue 45260 Lorris,47.889667,2.513516
Loudeac,GLB,LBR24136,3 boulevard De La Gare,,22600,Loudeac,FR,3 boulevard De La Gare 22600 Loudeac,48.176949,-2.758544
Loudun,GCA,GCA03298,23 boulevard Loches Et Matras,,86200,Loudun,FR,23 boulevard Loches Et Matras 86200 Loudun,47.008937,0.087616
Loue,GCM,GCM01079,3 rue De La Libération,,72540,Loue,FR,3 rue De La Libération 72540 Loue,47.993608,-0.15225
Lourdes,GOC,GOC93033,26 avenue Alexandre Marqui,,65100,Lourdes,FR,26 avenue Alexandre Marqui 65100 Lourdes,43.1018,-0.044098
Louviers,GCM,GCM00393,27 place De La Republique,,27400,Louviers,FR,27 place De La Republique 27400 Louviers,49.213717,1.16581
Louvigne Du Desert,GLB,LBR37190,14 rue Lariboisiere,,35420,Louvigne Du Desert,FR,14 rue Lariboisiere 35420 Louvigne Du Desert,48.481141,-1.1243
Lubersac,GOC,GOC86107,rue des Ecoles,,19210,Lubersac,FR,rue des Ecoles 19210 Lubersac,45.444628,1.405357
Lucon,GCA,GCA03277,61 rue G. Clémenceau,,85400,Lucon,FR,61 rue G. Clémenceau 85400 Lucon,46.457077,-1.167041
Lunel,GMED,GSU85729,40 avenue Du Vidourle,,34400,Lunel,FR,40 avenue Du Vidourle 34400 Lunel,43.680354,4.145314
Luneray,GCM,GCM00297,32 place Rene Coty,,76810,Luneray,FR,32 place Rene Coty 76810 Luneray,49.828766,0.912548
Luneville,GGE,GGE05405,12 bis rue Des Templiers,,54300,Luneville,FR,12 bis rue Des Templiers 54300 Luneville,48.591838,6.491553
Lure,GGE,GGE07009,52 avenue De La République,,70200,Lure,FR,52 avenue De La République 70200 Lure,47.685964,6.494944
Lusignan,GCA,GCA03299,place Du 11 Novembre,,86600,Lusignan,FR,place Du 11 Novembre 86600 Lusignan,46.435419,0.121894
Luxeuil,GGE,GGE07010,5 rue Jeanneney,,70300,Luxeuil Les Bains,FR,5 rue Jeanneney 70300 Luxeuil Les Bains,47.815493,6.380945
Luzarches,GPVL,PVL01785,6 place De L'Ange,,95270,Luzarches,FR,6 place De L'Ange 95270 Luzarches,49.113262,2.422058
Luzech,GOC,GOC91090,134 avenue De L'Uxellodunum,,46140,Luzech,FR,134 avenue De L'Uxellodunum 46140 Luzech,44.477529,1.288856
Machecoul,GLB,LBR46087,rue Sainte Catherine,,44270,Machecoul Saint Meme,FR,rue Sainte Catherine 44270 Machecoul Saint Meme,46.993042,-1.820225
Magnac Bourg,GCA,GCA03325,6 rue De La Liberté,Lotissement La Croix Bertrand,87380,Magnac Bourg,FR,6 rue De La Liberté 87380 Magnac Bourg,45.617564,1.430115
Magnac Laval,GCA,GCA03326,20 place de l'église,,87160,St-Sulpice-Les-Feuilles,FR,20 place de l'église 87160 St-Sulpice-Les-Feuilles,46.318509,1.367738
Magny En Vexin,GPVL,PVL01728,6 place De La Halle,,95420,Magny En Vexin,FR,6 place De La Halle 95420 Magny En Vexin,49.15519,1.7871
Maiche,GGE,GGE02515,5 place Du Champ De Foire,,25120,Maiche,FR,5 place Du Champ De Foire 25120 Maiche,47.253358,6.801542
Maintenon,GCM,GCM01115,10 rue Saint Pierre,,28130,Maintenon,FR,10 rue Saint Pierre 28130 Maintenon,48.587282,1.577132
Malestroit,GLB,LBR58124,1 place Du Dr Queinnec,,56140,Malestroit,FR,1 place Du Dr Queinnec 56140 Malestroit,47.81091,-2.38369
Mamers,GCM,GCM01081,7 place Carnot,,72600,Mamers,FR,7 place Carnot 72600 Mamers,48.350219,0.368878
Mandelieu,GMED,GSU06376,601 avenue De Fréjus,Centre Commercial L'Olympia,6210,Mandelieu La Napoule,FR,601 avenue De Fréjus 06210 Mandelieu La Napoule,43.53465,6.932582
Manosque,GMED,GSU06113,304 a avenue De La Libération,,4100,Manosque,FR,304 a avenue De La Libération 04100 Manosque,43.822463,5.791466
Mantes République,GPVL,PVL01755,4 avenue De La République,,78200,Mantes La Jolie,FR,4 avenue De La République 78200 Mantes La Jolie,48.989496,1.714061
Marciac,GOC,GOC89045,31 place De L'Hôtel De Ville,,32230,Marciac,FR,31 place De L'Hôtel De Ville 32230 Marciac,43.524476,0.161496
Marcillac,GOC,GOC84270,42 Tour de Ville,,12330,Marcillac Vallon,FR,42 Tour de Ville 12330 Marcillac Vallon,44.473874,2.464943
Marckolsheim,GGE,GGE10344,19 rue Clémenceau,,67390,Marckolsheim,FR,19 rue Clémenceau 67390 Marckolsheim,48.166641,7.544634
Marennes,GCA,GCA03133,65 rue De La République,,17320,Marennes,FR,65 rue De La République 17320 Marennes,45.822567,-1.105087
Marguerittes,GMED,GSU85551,32 avenue Ferdinand Perthus,,30320,Marguerittes,FR,32 avenue Ferdinand Perthus 30320 Marguerittes,43.860718,4.444352
Marie Galante,GAG,GAGI91112,Angle Des Rues République Et Marcel Etzol,,97112,Grand Bourg,FR,Angle Des Rues République Et Marcel Etzol 97112 Grand Bourg,15.882311,-61.316071
Marigny,GCM,GCM00701,place Westport,,50570,Marigny Le Lozon,FR,place Westport 50570 Marigny Le Lozon,49.098672,-1.242947
Marin,GAG,GAGI92080,Résidence de la Baie - Boulevard Allègre - Quartier Mondésir ,,97290,Marin,FR,Résidence de la Baie - Boulevard Allègre - Quartier Mondésir  97290  Marin,14.474595,-60.862896
Marmande,GCA,GCA03239,4 avenue François Mitterrand,,47200,Marmande,FR,4 avenue François Mitterrand 47200 Marmande,44.508089,0.144134
Maromme,GCM,GCM00805,2 rue De La République,,76150,Maromme,FR,2 rue De La République 76150 Maromme,49.482199,1.042698
Marsac Sur L'Isle,GCA,GCA18005,avenue Louis Suder Saltgourde,,24430,Marsac Sur L Isle,FR,avenue Louis Suder Saltgourde 24430 Marsac Sur L Isle,45.188239,0.660948
Marseille Prado Castellane,GMED,GSU06276,57 avenue Du Prado,,13006,Marseille,FR,57 avenue Du Prado 13006 Marseille,43.283053,5.385764
Marseille Saint Barnabe,GMED,GSU06651,20 rue Montaigne,,13012,Marseille,FR,20 rue Montaigne 13012 Marseille,43.304259,5.413909
Marseille Saint Loup,GMED,GSU06663,79 boulevard De Saint Loup,,13010,Marseille,FR,79 boulevard De Saint Loup 13010 Marseille,43.282825,5.431537
Marseille Sainte Anne,GMED,GSU06629,485 avenue De Mazargues,,13008,Marseille,FR,485 avenue De Mazargues 13008 Marseille,43.256297,5.393997
Marseille Vieux-Port,GMED,GSU06669,4 place Du Général De Gaulle,,13001,Marseille,FR,4 place Du Général De Gaulle 13001 Marseille,43.295241,5.375469
Marssac,GOC,GOC94113,5 rue Des Ecoles,,81150,Marssac Sur Tarn,FR,5 rue Des Ecoles 81150 Marssac Sur Tarn,43.916726,2.029671
Marvejols,GOC,GOC84283,3 boulevard De Chambrun,,48100,Marvejols,FR,3 boulevard De Chambrun 48100 Marvejols,44.551928,3.292164
Masevaux,GGE,GGE10100,9 place Lt. Col. De Gayardon,,68290,Masevaux Niederbruck,FR,9 place Lt. Col. De Gayardon 68290 Masevaux Niederbruck,47.776044,6.995516
Masseube,GOC,GOC89051,27 rue Du Commerce,,32140,Masseube,FR,27 rue Du Commerce 32140 Masseube,43.429698,0.578065
Massiac,GOC,GOC85169,rue Neuve,,15500,Massiac,FR,rue Neuve 15500 Massiac,45.251748,3.198383
Matha,GCA,GCA03134,1 avenue De La Ferme Des Godinières,Za Des Godinières - Rond Point De L'Europe,17160,Matha,FR,1 avenue De La Ferme Des Godinières 17160 Matha,45.866757,-0.303428
Mathieu Seymour,GAG,GAGI81270,centre commercial Tamarinier,,97122,Baie Mahault,FR,centre commercial Tamarinier 97122 Baie Mahault,16.253018,-61.589986
Matignon,GLB,LBR24143,2 place Du General De Gaulle,,22550,Matignon,FR,2 place Du General De Gaulle 22550 Matignon,48.596069,-2.2923
Maubourguet,GOC,GOC93025,60 allée Larbanes,,65700,Maubourguet,FR,60 allée Larbanes 65700 Maubourguet,43.467728,0.034694
Mauguio,GMED,GSU85736,43 boulevard De La Démocratie,,34130,Mauguio,FR,43 boulevard De La Démocratie 34130 Mauguio,43.616812,4.006756
Mauleon,GOC,GOC92096,91 rue Victor Hugo,,64130,MAULEON LICHARRE,FR,91 rue Victor Hugo 64130 MAULEON LICHARRE,43.22276,-0.88617
Mauleon,GCA,GCA3250,4 RUE CARDINAL DE SOURDIS,,79700,MAULEON,FR,4 RUE CARDINAL DE SOURDIS 79700 MAULEON,46.923235,-0.744658
